"date","inflation","inflation.expectations","labour.costs.growth","unemployment","imports.price.growth","oil.price.change","dummy"
1980-09-30,2.2,2.37142857142857,2.75502441280004,6.13248633333333,14.9831703353651,-8.88654315291087,0
1980-12-31,2.2,2.41428571428571,7.92504693815019,5.98645046666667,12.6786923648309,3.72074952426836,0
1981-03-31,2.2,2.4,-3.66811843883981,5.76027583333333,10.681121337872,1.68943428332031,0
1981-06-30,2.2,2.35714285714286,7.15394952764339,5.50648686666667,8.80996676035462,-5.1126430484578,0
1981-09-30,2.2,2.31428571428571,3.20532476562249,5.82931966666667,7.3866228805987,-1.81036364082803,0
1981-12-31,2.2,2.25714285714286,-9.57922311783466,5.96576616666667,6.28542497028435,-3.71773286458809,0
1982-03-31,2.3,2.21428571428571,3.09512019796043,6.20525373333333,5.11501836160029,-7.7032347588105,0
1982-06-30,2.5,2.21428571428571,3.62507388514013,6.5650727,4.02798425149931,8.71496380400263,0
1982-09-30,3,2.25714285714286,3.76486891274979,7.10899396666667,8.9,2.77272113333805,0
1982-12-31,2.6,2.37142857142857,4.58566190194796,8.792985,11.2,-11.5348165432201,0
1983-03-31,2.2,2.42857142857143,1.39388128357509,9.63733713333333,9.6,-5.47775077378549,0
1983-06-30,1.8,2.42857142857143,1.81010373666172,10.22675,11.7,5.68644619675883,0
1983-09-30,1.5,2.37142857142857,0.555014721168456,10.3555648333333,8.7,-4.55710256381,0
1983-12-31,2.1,2.27142857142857,0.79328763897546,9.70723036666667,4.5,-1.29116298639498,0
1984-03-31,1.3,2.24285714285714,1.1229325621503,9.36469386666667,2.4,1.78812141880092,0
1984-06-30,1.5,2.07142857142857,0.302462166781448,9.13485936666667,-1,-5.13702933573732,0
1984-09-30,1.2,1.85714285714286,1.62418148095205,8.8244263,3.6,0.549629794979815,0
1984-12-31,1.3,1.65714285714286,-2.09577733458302,8.631944,5.2,-9.39713700053332,0
1985-03-31,1.7,1.52857142857143,-0.205938385734794,8.53573963333333,10.7,5.47829816400635,0
1985-06-30,2.1,1.51428571428571,1.32949680451486,8.45037306666667,23,-3.20381659698716,0
1985-09-30,2.1,1.6,1.26204703105623,8.17101353333334,18.2,9.74147115635283,0
1985-12-31,2,1.6,-0.232018561484926,7.86161576666667,22.5,-23.8426850471215,0
1986-03-31,2.2,2.11218151688635,9.53488372093023,7.91262033333333,16.7,-69.4856308601034,0
1986-06-30,2,1.87208376210892,1.91082802547771,7.80088976666667,-0.1,2.73856708787693,0
1986-09-30,2.3,1.81345941744835,-1.04166666666666,8.23076603333333,12,21.9781703832771,0
1986-12-31,2.4,1.97827906153114,-2.73684210526315,8.33090613333333,9.3,19.762990129793,0
1987-03-31,2,1.91968753157881,4.76190476190474,8.27845156666667,10.3,2.50370881004471,0
1987-06-30,1.9,1.87585350594555,1.44628099173554,8.17074046666667,12.5,11.114363998822,0
1987-09-30,1.7,1.87585350594555,-1.62932790224033,7.9807492,-0.4,-2.95959185188922,0
1987-12-31,1.7,1.8196359617989,-1.24223602484471,7.91518436666667,2.7,-7.12971549568934,0
1988-03-31,1.7,1.86616096856662,5.87002096436058,7.5184051,2.7,-14.6263973254987,0
1988-06-30,1.9,1.78811063811135,2.97029702970297,7.64482586666667,0.7,5.35311144649624,0
1988-09-30,1.7,1.78811063811135,-3.26923076923078,6.921671,-3.6,-16.471681586514,0
1988-12-31,1.7,1.77591467775839,2.18687872763419,6.7544425,-9,14.9805680595231,0
1989-03-31,1.3,1.90003596569563,7.39299610894943,6.595482,-10.6,20.0017314190948,0
1989-06-30,1.6,1.90003596569563,0.724637681159424,6.16441446666667,-2.1,-5.66552375289358,0
1989-09-30,1.5,1.9662497235768,-2.33812949640289,6.00780203333333,4.6,0.564335583495477,0
1989-12-31,1.7,1.87448704779702,0.736648250460425,5.85300673333333,5.2,11.0188459690167,0
1990-03-31,1.7,1.80852725729552,7.12979890310785,6.23001676666667,8.3,-7.58930632404969,0
1990-06-30,1.6,1.80852725729552,3.41296928327646,6.4645277,1.7,-19.7112294795351,0
1990-09-30,1.3,1.67491843096443,-2.64026402640264,7.22537423333333,-1.1,83.7792085387503,0
1990-12-31,1.8,1.58298851124621,-1.69491525423728,7.86750946666667,7,-21.0685657502882,0
1991-03-31,0.8,1.36703367664448,5.86206896551724,8.73255903333333,4.4,-39.3160505685359,0
1991-06-30,1,1.2254540599816,-0.162866449511401,9.63393596666667,2.2,-4.88687836120605,0
1991-09-30,1.1,1.15362677667166,-2.93637846655791,9.83714746666667,1.9,12.0653003736283,0
1991-12-31,0.7,1.15362677667166,1.00840336134453,10.2196774666667,-4,-10.7530890899376,0
1992-03-31,0.4,1.12846368643813,2.66222961730449,10.4166079666667,-1,-4.32919988352076,0
1992-06-30,0.5,1.14163882739726,0,10.6340788333333,1.6,18.251061058032,0
1992-09-30,0.5,0.995015707494717,-1.78282009724473,10.8227171666667,7.4,-4.297064652619,0
1992-12-31,0.6,0.891469119592991,-3.13531353135313,11.1484149,10.1,-11.1022515776918,0
1993-03-31,0.6,0.891469119592991,4.25894378194207,10.9024234666667,8.7,3.52053687383834,0
1993-06-30,0.6,0.814997934392392,1.47058823529411,10.8490109,10.2,-6.25890300460682,0
1993-09-30,0.6,0.814997934392392,-2.73752012882448,10.8877338,8.2,-9.75222563706822,0
1993-12-31,0.6,0.814997934392392,-3.47682119205298,10.8876561333333,5.4,-15.3630307228744,0
1994-03-31,0.5,0.814997934392392,6.00343053173242,10.4406948,0.2,0.653359855964423,0
1994-06-30,0.6,0.791154844741015,1.61812297734627,9.8832338,-1.1,19.2878276714413,0
1994-09-30,0.6,0.791154844741015,-4.61783439490445,9.47555,-3.5,-5.26759858277513,0
1994-12-31,0.5,0.791154844741015,-1.00166944908181,9.056946,-4.9,0.18850146957712,0
1995-03-31,0.6,0.843130297125749,7.25126475548061,8.7659565,0.2,6.55972824858133,0
1995-06-30,0.9,0.843130297125749,0.31446540880502,8.3650901,6,1.74829627803474,0
1995-09-30,1,0.843130297125749,-2.03761755485893,8.3690197,4.5,-3.58756497654085,0
1995-12-31,0.7,0.843130297125749,-1.76000000000001,8.39033816666667,3.4,7.10665681943321,0
1996-03-31,0.6,0.772296504083392,6.35179153094463,8.40074113333333,0.9,10.1728719516158,0
1996-06-30,0.7,0.704077625013166,-1.22511485451761,8.41594633333333,-7.8,-7.25977780584933,0
1996-09-30,0.5,0.704077625013166,0.155038759689918,8.62071486666667,-7.7,20.367023057074,0
1996-12-31,0.6,0.704077625013166,-3.25077399380804,8.6201523,-6.5,4.95684316171899,0
1997-03-31,0.7,0.704077625013166,5.92000000000001,8.6204248,-5.5,-21.7587107810474,0
1997-06-30,0.4,0.704077625013166,-1.3595166163142,8.48232623333333,-2.3,-8.44958911951306,0
1997-09-30,0.2,0.646638197986715,0,8.3737587,1.3,4.88443368176753,0
1997-12-31,0.7,0.646638197986715,-2.90964777947933,7.97665763333333,6.3,-7.18603125185968,0
1998-03-31,0.5,0.607010166056066,2.83911671924291,7.8403147,7.6,-27.1133686349003,0
1998-06-30,0.5,0.607010166056066,-0.306748466257678,7.73363333333333,9.7,-7.03569420844924,0
1998-09-30,0.3,0.607010166056066,0.461538461538447,7.78771553333333,10.9,8.85117523648642,0
1998-12-31,0.4,0.607010166056066,-2.75650842266462,7.3746781,5.5,-30.6345918121103,0
1999-03-31,0.5,0.561341205304311,2.83464566929132,7.08222736666667,2,24.2107202112445,0
1999-06-30,0.4,0.561341205304311,0.7656967840735,6.88601906666667,-2.1,23.7271891727882,0
1999-09-30,0.8,0.561341205304311,-0.303951367781163,6.87414026666667,-5.7,35.1491292404928,0
1999-12-31,0.6,0.55540047599949,-0.304878048780466,6.63341693333333,-2.7,12.2209780379735,0
2000-03-31,0.7,0.55540047599949,2.75229357798166,6.65070823333333,0.9,7.63210131857887,0
2000-06-30,0.5,0.55540047599949,-1.04166666666667,6.30208253333333,9.3,8.06860913342046,0
2000-09-30,0.6,0.551454951132868,2.25563909774436,5.98949116666667,10.8,10.6232618487058,0
2000-12-31,0.6,0.551454951132868,0.147058823529411,6.17155963333333,15.7,-25.5807652810926,0
2001-03-31,1,0.551454951132868,2.49632892804699,6.36683463333333,10.6,-4.6260241636809,0
2001-06-30,0.8,0.529586092695933,0.14326647564471,6.86963753333333,9.5,12.8159848822612,0
2001-09-30,0.7,0.529586092695933,-0.143061516452092,6.86726566666667,5.3,-8.34596699047049,0
2001-12-31,0.9,0.529586092695933,-2.14899713467048,6.9794116,-1.5,-31.431515618259,0
