"date","inflation","inflation.expectations","interest","gdp.log"
1970-03-31,2.78306714291982,2.60576053267171,5.48408854418027,11.618491959413
1970-06-30,4.33210392627097,2.63144129286859,6.12,11.6384032642971
1970-09-30,3.8504091359489,3.28846939145755,6.0791398744804,11.6363282358487
1970-12-31,5.33195081421725,4.07438275483924,5.95238607144657,11.6410987786932
1971-03-31,6.31388982685371,4.95708842582271,5.95768498841604,11.6531134035526
1971-06-30,4.39288324317322,4.97228325504827,5.91,11.6574239980544
1971-09-30,7.83353895337326,5.96806570940436,5.82064634373313,11.6883650619754
1971-12-31,9.7793029791063,7.07990375062662,5.68364552558412,11.6851293435759
1972-03-31,5.39212896850543,6.84946353603956,5.53834895116896,11.6729247227597
1972-06-30,3.32737438139569,6.58308632059517,5.18,11.6950720064499
1972-09-30,4.80840277393304,5.82680227573511,4.96093188630091,11.6899831920891
1972-12-31,4.97718945705492,4.62627389522227,4.91776274087261,11.7004667087983
1973-03-31,5.96221830586575,4.76879622956235,5.14552451942811,11.7259621131745
1973-06-30,10.7599156344046,6.62693154281457,4.7,11.7278836070404
1973-09-30,13.1693664453392,8.71717246066611,5.18801219940935,11.7378753838198
1973-12-31,13.380987861308,10.8181220617294,5.65081291778188,11.7625161862993
1974-03-31,12.8079251551795,12.5295487740578,5.95154372992056,11.7627109472309
1974-06-30,13.3631967033548,13.1803690412954,6.82,11.7423293792553
1974-09-30,17.8575657744226,14.3524188735662,6.8491088719712,11.7542625064764
1974-12-31,17.2118395640948,15.3101317992629,6.89685832941898,11.7552126029316
1975-03-31,14.6999796613673,15.7831454258099,6.95396750052051,11.7591603475078
1975-06-30,14.6314030676656,16.1001970168876,6.72,11.7902465472598
1975-09-30,7.70843345147966,13.5629139361518,7.05233303687479,11.7792281176417
1975-12-31,11.9801164737152,12.2549831635569,7.13365829578734,11.7639642997232
1976-03-31,16.7747070477539,12.7736650101536,6.92360208056358,11.807242974139
1976-06-30,10.6139162402678,11.7692933033041,8.023,11.8103226921086
1976-09-30,9.24749269173185,12.1540581133672,7.462,11.8183934265859
1976-12-31,16.1723460257832,13.2021155013842,6.372,11.8270790546278
1977-03-31,15.9343554201743,12.9920275944893,7.576,11.821615320579
1977-06-30,9.1107780545935,12.6162430480707,9.52,11.8357043744594
1977-09-30,8.72538087487936,12.4857150938576,9.469,11.8314301038838
1977-12-31,8.82350955947358,10.6485059772802,9.148,11.8282907955219
1978-03-31,7.80485547439917,8.6161309908364,7.953,11.8353205098068
1978-06-30,6.53435002135856,7.97202398252767,9.04,11.8434874130517
1978-09-30,7.36359994479877,7.63157875000752,9.18,11.8585414837922
1978-12-31,8.23372892735537,7.48413359197797,8.315,11.8668024984053
1979-03-31,7.85821350730047,7.49747310020329,8.182,11.8938041215194
1979-06-30,8.43187027998146,7.97185316485902,8.714,11.8776519084194
1979-09-30,10.0454913748099,8.64232602236181,9.413,11.8869067859083
1979-12-31,10.6546975410531,9.24756817578624,9.5,11.9060143020103
1980-03-31,9.88097439883466,9.75325839866979,10.405,11.9104928009513
1980-06-30,10.1307451884186,10.1779771257791,13.726,11.9130898825413
1980-09-30,9.05713863814676,9.93088894161329,11.227,11.9183372383228
1980-12-31,7.43307329312365,9.12548287963093,10.881,11.9354246656342
1981-03-31,8.79859190120129,8.85488725522259,11.989,11.9392775795432
1981-06-30,8.77156561759877,8.51509236251762,15.33,11.954671070595
1981-09-30,8.66301483443755,8.41656141159032,14.676,11.9745629453836
1981-12-31,12.250811159056,9.6209958780734,15.619,11.9705591509602
1982-03-31,11.805916395043,10.3728270015338,16.082,11.9624202175844
1982-06-30,9.87704503614857,10.6491968561713,17.58,11.971432005249
1982-09-30,11.8235208966178,11.4393233717163,16.097,11.9647269354864
1982-12-31,10.2670986994311,10.9433952568101,11.458,11.9487710441301
1983-03-31,8.70459671260508,10.1680653362006,16.734,11.9386767435794
1983-06-30,7.13596725133241,9.4827958899966,11.744,11.9367738929806
1983-09-30,5.95544499750022,8.01577691521721,10.983,11.9642940350468
1983-12-31,8.31301567301136,7.52725615861227,11.983,11.9808080964897
1984-03-31,5.16649010661849,6.64272950711562,12.551,12.0056013746261
1984-06-30,5.95544499750022,6.34759894365757,12.333,12.0168291875572
1984-09-30,4.77142834610953,6.0515947808099,11.069,12.025257952846
1984-12-31,5.16649010661849,5.26496338921168,12.007,12.0321596375947
1985-03-31,6.74284682656912,5.65905256919934,13.97,12.0466137352767
1985-06-30,8.31301567301136,6.24844523807713,18.919,12.0684356937624
1985-09-30,8.31301567301136,7.13384206980259,16.411,12.0819143309004
1985-12-31,7.92105091847189,7.82248227276594,19.394,12.079380667837
1986-03-31,8.70459671260508,7.26038134868713,17.289,12.0859199293975
1986-06-30,7.92105091847189,7.26442680323258,15.435,12.0841196777791
1986-09-30,9.09579478779574,7.35779801535379,17.698,12.08695684714
1986-12-31,9.48661064692643,7.48988134868713,15.501,12.1033253790272
1987-03-31,7.92105091847189,7.57809563440141,16.226,12.1129096588559
